REPORT_NUMBER,OPERATOR_ID,NAME,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,NRC_RPT_NUM,NRC_RPT_DATETIME,COMMODITY_RELEASED_TYPE,COMMODITY_SUBTYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,INJURY_IND,ONSHORE_STATE_ABBREVIATION,ONSHORE_POSTAL_CODE,ONSHORE_CITY_NAME,ONSHORE_COUNTY_NAME,PIPE_FAC_NAME,ITEM_INVOLVED,INSTALLATION_YEAR,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,LONG_TERM_ASSESSMENT,REMEDIATION_IND,WATER_CONTAM_IND,OCEAN_SEAWATER_IND,SURFACE_CONTAM_IND,GROUNDWATER_CONTAM_IND,DRINKING_WATER_CONTAM_IND,PRIVATE_WELL_CONTAM_IND,PUBLIC_WATER_CONTAM_IND,AMOUNT_RELEASED,REL_WATER_NAME,COMMODITY_REACHED_HCA,COMMERCIALLY_NAV_IND,HIGH_POP_IND,OTHER_POP_IND,USA_DRINKING_IND,USA_ECOLOGICAL_IND,PRPTY,CAUSE,CAUSE_DETAILS,PREPARER_EMAIL,AUTHORIZER_EMAIL,DOMAIN
20180261,32109,"ONEOK NGL PIPELINE, LLC",8/10/18 11:17,35.54874,-99.29455,NRC NOTIFICATION NOT REQUIRED,,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),3.6,0,0,NO,NO,OK,73625,Not Within a Municipality,CUSTER,ONEOK PANTHER CREEK INJECTION,METER/PROVER,2010,NO,NO,NO,NO,NO,,,,,,,,,YES,,,,YES,,3778,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,neal.jones@oneok.com,neal.jones@oneok.com,oneok.com
20180255,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",8/7/18 11:05,29.81889996,-95.14327781,1220794,8/7/18 13:52,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,11,0,0,NO,NO,TX,77049,CHANNELVIEW,HARRIS,MILLER ROAD MAINLINE VALVE STATION,VALVE,1995,NO,YES,NO,YES,NO,,,,,,,,,YES,,YES,,,,216200,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,edgar.x.rodriguez@williams.com,clint.ratke@williams.com,williams.com
20180259,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",8/4/18 9:00,46.686998,-92.062559,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.18,,0.18,NO,NO,WI,54880,SUPERIOR,DOUGLAS,SUPERIOR TERMINAL,VALVE,1952,NO,YES,NO,NO,NO,,,,,,,,,YES,,,YES,,,4735,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,stacy.soine@enbridge.com,ron.carlberg@enbridge.com,enbridge.com
20180262,26086,SEADRIFT PIPELINE CORP,8/2/18 16:10,28.5108876,-96.7655338,1220365,8/2/18 18:45,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),0.2,0,0,NO,NO,TX,77983,SEADRIFT,CALHOUN,GCPL_ELLA-SEADRIFT_8IN,PUMP,2018,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,47010,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,joashcraft@dow.com,joashcraft@dow.com,dow.com
20180260,31045,"GENESIS PIPELINE USA, L.P.",8/2/18 1:00,29.743266,-90.601545,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,40,,40,NO,NO,LA,70394,RACELAND,LAFOURCHE,RACELAND RAIL TERMINAL,VALVE,2015,NO,NO,NO,NO,NO,,,,,,,,,YES,,YES,YES,,,2000,INCORRECT OPERATION,OTHER INCORRECT OPERATION,jorge.morice@genlp.com,john.jewett@genlp.com,genlp.com
20180257,39138,"BOARDWALK LOUISIANA MIDSTREAM, LLC",7/29/18 10:30,30.320183,-91.309208,1219846,7/29/18 13:46,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OTHER HVL,176.19,0,0,NO,NO,LA,70764,PLAQUEMINE,IBERVILLE,CHOCTAW TERMINAL,VALVE,2008,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,1008293,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,shannon.mattingly@bwpmlp.com,darral.ward@bwpmlp.com,bwpmlp.com
20180258,39012,"SUMMIT MIDSTREAM PARTNERS, LLC",7/29/18 8:30,48.27263797,-103.3607872,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,0.5,,0.5,NO,NO,ND,58843,EPPING,WILLIAMS,EPPING STATION,VALVE,2018,NO,NO,NO,NO,NO,,,,,,,,,YES,,,YES,,,675,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,kyle.hill@summitmidstream.com,agarcia@summitmidstream.com,summitmidstream.com
20180250,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",7/26/18 11:30,46.686986,-92.057713,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,2,,2,NO,NO,WI,54880,SUPERIOR,DOUGLAS,SUPERIOR TERMINAL,"WELD, INCLUDING HEAT-AFFECTED ZONE",,NO,YES,NO,NO,NO,,,,,,,,,YES,,YES,YES,YES,YES,33228,CORROSION FAILURE,INTERNAL CORROSION,stacy.soine@enbridge.com,ron.carlberg@enbridge.com,enbridge.com
20180251,30829,ENTERPRISE CRUDE PIPELINE LLC,7/26/18 9:25,31.8796,-102.1258,NRC NOTIFICATION NOT REQUIRED,,CRUDE OIL,,66,,28,NO,NO,TX,79706,MIDLAND,MIDLAND,BRYANT G STATION,INSTRUMENTATION,,NO,YES,NO,NO,NO,,,,,,,,,NO,,,,,,21100,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,lswilliams@eprod.com,lswilliams@eprod.com,eprod.com
20180256,32109,"ONEOK NGL PIPELINE, LLC",7/25/18 15:30,31.709201,-96.227467,1219494,7/25/18 15:42,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID),0.02,0,0,NO,NO,TX,75840,Not Within a Municipality,FREESTONE,ONEOK FAIRFIELD PUMP STATION (SITE 541),PUMP,2009,NO,NO,NO,NO,NO,,,,,,,,,NO,,,,,,250,INCORRECT OPERATION,OTHER INCORRECT OPERATION,neal.jones@oneok.com,neal.jones@oneok.com,oneok.com
